Stock*,Open,High,Low,Last*,Vol*
MPHBCAP,1.37,1.38,1.37,1.37,193
MPI,45.4,45.4,44.96,45.4,3454
MRCB,0.385,0.405,0.385,0.395,47058
MRCB-WB,0.085,0.09,0.08,0.085,30492
MRDIY,3.9,3.9,3.83,3.9,20874
MSC,2.26,2.3,2.22,2.25,3999
MSM,1.67,1.7,1.66,1.68,24525
MSNIAGA,1.63,1.63,1.55,1.56,75
MTRONIC,0.03,0.035,0.03,0.035,39940
MTRONIC-WA,0.015,0.02,0.015,0.015,89289
MUDA,2.77,2.8,2.74,2.77,3213
MUDAJYA,0.18,0.19,0.18,0.19,3990
MUH,0.675,0.685,0.66,0.66,1983
MUHIBAH,0.89,0.905,0.89,0.895,9329
MUIIND,0.085,0.085,0.08,0.08,6780
MUIPROP,0.19,0.19,0.19,0.19,3060
MULPHA,2.24,2.29,2.23,2.27,2281
MYCRON,0.49,0.495,0.47,0.48,6860
MYCRON-WA,-,-,-,-,0
MYEG,0.91,0.925,0.9,0.92,214848
MYNEWS,0.925,0.935,0.915,0.925,7732
NAIM,0.62,0.63,0.62,0.62,4601
NATWIDE,0.19,0.19,0.175,0.19,1151
NCT,0.52,0.53,0.515,0.53,37629
NESTLE,133,133.7,132.6,133.1,941
NGGB,0.765,0.785,0.76,0.775,4689
NHFATT,2.33,2.33,2.33,2.33,10
NICE,0.165,0.165,0.16,0.16,1900
NICE-WB,0.12,0.14,0.12,0.14,350
NIHSIN,0.135,0.14,0.135,0.135,39028
NIHSIN-PA,0.03,0.03,0.03,0.03,5340
NIHSIN-WB,0.085,0.085,0.085,0.085,208
NOTION,0.58,0.585,0.56,0.575,26868
NOTION-WC,0.255,0.26,0.25,0.255,1873
NOVA,0.84,0.86,0.84,0.86,497
NPC,-,-,-,-,0
NSOP,3.2,3.2,3.2,3.2,50
NTPM,0.49,0.5,0.49,0.495,7390
NWP,0.265,0.27,0.255,0.265,327895
NYLEX,0.965,1.22,0.955,1.11,281576
OCB,0.79,0.795,0.78,0.795,1094
OCK,0.48,0.485,0.47,0.485,23269
OCK-WB,0.2,0.2,0.195,0.2,11836
OCNCASH,0.42,0.425,0.415,0.42,1125
OCR,0.135,0.14,0.135,0.14,12694
OCR-WD,0.03,0.035,0.03,0.035,1277
OFI,0.91,0.925,0.91,0.92,3159
OIB,0.89,0.9,0.89,0.9,261
OIB-WA,0.17,0.17,0.16,0.16,1693
OKA,0.815,0.83,0.815,0.825,4509
OLYMPIA,0.095,0.1,0.095,0.095,8272
OMESTI,0.44,0.445,0.435,0.44,1561
OMESTI-PB,0.85,0.86,0.85,0.86,63
OMESTI-WC,0.135,0.135,0.135,0.135,53
OMH,3.1,3.12,2.96,3.01,6297
ORIENT,5.11,5.12,5.1,5.1,5372
ORNA,1.4,1.4,1.4,1.4,10
OSK,0.86,0.865,0.855,0.855,5434
OWG,0.495,0.515,0.49,0.51,32337
OWG-WA,0.095,0.11,0.095,0.105,7993
OWG-WB,0.255,0.275,0.255,0.27,868
P&O,0.925,0.925,0.925,0.925,7
PA,0.405,0.42,0.4,0.42,83694
PA-WB,0.285,0.3,0.28,0.295,21691
PADINI,3.09,3.13,3.05,3.12,7166
PANAMY,30.1,30.1,30.02,30.04,124
PANSAR,0.65,0.65,0.65,0.65,10
PANSAR-PA,-,-,-,-,0
PANSAR-WA,0.13,0.15,0.13,0.15,12
PANTECH,0.515,0.515,0.505,0.505,1982
PANTECH-WB,0.035,0.04,0.035,0.04,11120
PAOS,0.405,0.41,0.395,0.41,6911
PAOS-WA,0.05,0.055,0.045,0.05,20803
PARAGON,1.75,1.83,1.75,1.78,1934
PARAMON,0.76,0.76,0.755,0.76,159
PARAMON-WA,0.08,0.09,0.08,0.09,687
PARKSON,0.215,0.215,0.21,0.215,7445
PARKWD,0.205,0.205,0.205,0.205,505
PASDEC,0.33,0.34,0.325,0.33,1115
PASDEC-WA,0.07,0.07,0.06,0.065,10530
PAVREIT,1.42,1.42,1.41,1.42,696
PBA,0.82,0.825,0.82,0.825,50
PBBANK,4.1,4.1,4.05,4.07,214178
PCCS,0.52,0.54,0.5,0.515,32275
PCCS-WA,0.155,0.165,0.14,0.145,35691
PCHEM,8.67,8.73,8.56,8.7,64717
PDZ,0.26,0.295,0.25,0.26,228483
PDZ-WB,0.13,0.145,0.11,0.13,61637
PEB,1.42,1.42,1.42,1.42,280
PECCA,2.96,2.96,2.93,2.96,4367
PELIKAN,0.425,0.44,0.425,0.43,46641
PENERGY,0.835,0.85,0.83,0.835,1160
PENSONI,0.705,0.705,0.69,0.69,1810
PENSONI-WB,0.2,0.2,0.195,0.195,1082
PENTA,5.44,5.54,5.44,5.49,10040
PERDANA,0.12,0.12,0.115,0.12,93597
PERDANA-PA,-,-,-,-,0
PERMAJU,0.065,0.065,0.06,0.06,27930
PERMAJU-PA,0.01,0.015,0.01,0.015,3550
PERMAJU-WA,0.035,0.045,0.035,0.045,1041
PERSTIM,4.09,4.09,4.07,4.07,223
PERTAMA,0.515,0.53,0.515,0.515,9057
PESONA,0.245,0.245,0.24,0.24,785
PESTECH,1.09,1.13,1.08,1.12,55504
PETDAG,19.46,19.46,18.9,19.12,3808
PETGAS,16.84,16.96,16.68,16.82,15534
PETRONM,4.31,4.36,4.3,4.33,458
PGLOBE,0.325,0.345,0.285,0.29,181018
PHARMA,0.815,0.84,0.81,0.835,72926
PHB,0.01,0.015,0.005,0.01,352444
PHB-WB,-,-,-,-,0
PICORP,0.13,0.13,0.125,0.125,27548
PIE,3.72,3.82,3.68,3.73,4165
PINEPAC,0.49,0.495,0.475,0.495,448
PJBUMI,0.38,0.38,0.37,0.375,3292
PJBUMI-WA,0.13,0.18,0.105,0.18,351
PLB,1.12,1.13,1.08,1.08,90
PLENITU,0.985,1.01,0.985,1.01,288
PLS,-,-,-,-,0
PLS-WA,-,-,-,-,0
PMBTECH,12.04,12.52,11.7,11.86,5614
PMBTECH-WA,9.55,9.55,8.7,8.95,1112
PMCORP,0.12,0.125,0.12,0.125,7879
PMETAL,5.84,5.84,5.66,5.74,85806
PMHLDG,0.075,0.075,0.07,0.075,57588
PNEPCB,0.085,0.095,0.085,0.095,18822
PNEPCB-WA,0.04,0.04,0.04,0.04,50
PNEPCB-WB,0.025,0.03,0.025,0.03,901
POHKONG,0.795,0.795,0.79,0.79,3977
POHUAT,1.45,1.47,1.44,1.44,1908
POLY,0.72,0.74,0.72,0.74,275
POS,0.7,0.7,0.69,0.695,7473
PPB,18.3,18.42,18.2,18.36,7484
PPHB,0.795,0.795,0.78,0.79,645
PRESTAR,0.62,0.63,0.615,0.615,11664
PRG,0.185,0.19,0.185,0.19,11260
PRKCORP,-,-,-,-,0
PRLEXUS,0.435,0.435,0.39,0.4,67659
PRLEXUS-WB,0.18,0.18,0.16,0.16,19903
PRTASCO,0.235,0.235,0.23,0.23,1312
PRTASCO-WA,0.05,0.05,0.05,0.05,2100
PTARAS,2.84,2.84,2.8,2.8,150
PTRANS,0.65,0.65,0.635,0.635,18791
PTRANS-WB,0.19,0.19,0.18,0.18,31270
PUNCAK,0.385,0.395,0.385,0.39,8058
PWF,-,-,-,-,0
PWORTH,0.07,0.075,0.07,0.07,16974
PWROOT,1.35,1.36,1.33,1.34,3277
PWROOT-WA,0.25,0.265,0.25,0.265,21
QL,5.4,5.42,5.38,5.38,8420
QUALITY,1.25,1.25,1.24,1.25,395
RALCO,1.01,1.05,1,1.01,746
RANHILL,0.66,0.665,0.655,0.665,1995
RAPID,8.45,8.52,8.45,8.52,964
RCECAP,3.18,3.25,3.18,3.24,2435
REACH,0.085,0.085,0.08,0.08,12364
REACH-WA,0.01,0.01,0.01,0.01,1450
RESINTC,0.685,0.73,0.67,0.725,27994
REX,0.24,0.245,0.24,0.24,23100
RGB,0.115,0.12,0.115,0.12,26526
RGTBHD,0.43,0.44,0.42,0.42,15980
RGTBHD-WB,0.33,0.33,0.315,0.315,1861
RHBBANK,5.5,5.5,5.44,5.46,41919
RHONEMA,0.685,0.69,0.675,0.69,420
RHONEMA-WA,0.17,0.17,0.165,0.165,1220
ROHAS,0.325,0.325,0.32,0.32,4740
RSAWIT,0.215,0.22,0.215,0.215,6161
RSENA,-,-,-,-,0
RUBEREX,0.6,0.645,0.6,0.615,154343
RVIEW,-,-,-,-,0
S&FCAP,0.115,0.115,0.11,0.115,1400
S&FCAP-WC,0.05,0.055,0.05,0.055,6561
SAB,3.77,3.8,3.77,3.8,794
SALCON,0.21,0.215,0.205,0.21,6997
SALCON-WB,0.07,0.075,0.07,0.07,1363
SALUTE,0.675,0.705,0.665,0.67,116837
SAM,20.26,21.44,19.82,20.2,4025
SAMCHEM,0.88,0.935,0.865,0.92,158682
SAPIND,-,-,-,-,0
SAPNRG,0.12,0.12,0.115,0.115,557640
SAPNRG-PA,-,-,-,-,0
SAPNRG-WA,0.055,0.06,0.055,0.055,41503
SAPRES,0.465,0.51,0.455,0.51,460
SASBADI,0.155,0.16,0.155,0.16,24821
SAUDEE,0.08,0.08,0.075,0.075,49282
SAUDEE-WB,0.025,0.025,0.025,0.025,6595
SBAGAN,3.27,3.28,3.2,3.21,230
SBCCORP,0.385,0.395,0.385,0.395,2707
SCABLE,0.375,0.39,0.375,0.38,8725
SCGM,2.45,2.46,2.4,2.44,5673
SCIB,0.45,0.46,0.435,0.445,199959
SCIB-WB,0.175,0.18,0.17,0.18,30296
SCICOM,1.16,1.17,1.15,1.15,2532
SCIENTX,4.63,4.63,4.56,4.57,4948
SCIENTX-WC,1.42,1.43,1.4,1.42,240
SCNWOLF,0.53,0.53,0.45,0.455,107888
SCNWOLF-WA,0.225,0.225,0.18,0.19,86838
SCOMI,0.04,0.04,0.035,0.04,12094
SCOMI-WB,0.015,0.015,0.015,0.015,1400
SCOMIES,0.07,0.075,0.07,0.07,2571
SDRED,0.585,0.59,0.585,0.59,135
SEACERA,0.18,0.185,0.18,0.18,1398
SEAL,0.345,0.345,0.34,0.34,3562
SEALINK,0.18,0.18,0.17,0.175,15413
SEB,-,-,-,-,0
SEEHUP,1.09,1.09,1.07,1.08,469
SEG,-,-,-,-,0
SEM,1.49,1.53,1.49,1.53,230
SENDAI,0.215,0.215,0.21,0.215,11080
SENDAI-WA,0.07,0.07,0.07,0.07,3000
SENTRAL,0.87,0.87,0.865,0.87,5635
SERBADK,0.33,0.335,0.32,0.32,1122502
SERBADK-WA,0.08,0.08,0.075,0.08,44499
SERNKOU,0.56,0.59,0.54,0.575,36374
SERNKOU-WA,0.435,0.46,0.425,0.46,935
SHANG,3.57,3.57,3.5,3.55,243
SHCHAN,0.55,0.56,0.55,0.55,710
SHH,-,-,-,-,0
SHL,-,-,-,-,0
SIGN,0.925,0.935,0.925,0.93,14710
SIME,2.31,2.33,2.26,2.27,87589
SIMEPLT,3.61,3.67,3.57,3.58,70629
SIMEPROP,0.64,0.66,0.64,0.655,17175
SINARAN,0.075,0.11,0.075,0.1,575599
SJC,2.38,2.51,2.38,2.5,606
SKBSHUT,1.8,1.83,1.72,1.77,1072
SKPRES,1.86,1.86,1.83,1.83,20403
SKPRES-WB,0.245,0.245,0.23,0.235,69336
SLP,0.95,0.95,0.945,0.95,970
SMCAP,0.225,0.23,0.22,0.23,29273
SMCAP-WC,0.13,0.13,0.13,0.13,25
SMI,0.185,0.19,0.185,0.185,6538
SMISCOR,0.705,0.72,0.705,0.715,1098
SNC,1.1,1.17,1.08,1.17,27459
SNTORIA,0.17,0.17,0.17,0.17,50
SNTORIA-WB,-,-,-,-,0
SOLID,0.25,0.255,0.245,0.25,34717
SOP,3.56,3.59,3.55,3.59,213
SPRITZER,2.09,2.09,2.03,2.03,35
SPSETIA,1.19,1.24,1.17,1.23,43444
SPSETIA-PA,0.81,0.815,0.81,0.81,300
SPSETIA-PB,-,-,-,-,0
SSTEEL,0.76,0.77,0.755,0.765,2870
STAR,0.35,0.355,0.34,0.345,12637
STELLA,0.935,0.935,0.935,0.935,261
SUBUR,0.78,0.83,0.77,0.825,2371
SUCCESS,0.93,0.94,0.91,0.93,14603
SUMATEC,-,-,-,-,0
SUNCON,1.64,1.64,1.62,1.63,451
SUNREIT,1.41,1.41,1.38,1.4,37603
SUNSURIA,-,-,-,-,0
SUNWAY,1.71,1.73,1.69,1.69,17247
SUNWAY-PA,1.46,1.48,1.46,1.48,2290
SUNWAY-WB,0.41,0.42,0.41,0.415,1376
SUPERLN,0.9,0.9,0.895,0.9,2480
SUPERMX,2.37,2.55,2.33,2.39,345939
SURIA,1.15,1.15,1.13,1.14,1339
SWKPLNT,2.4,2.44,2.39,2.43,306
SWSCAP,0.455,0.455,0.455,0.455,690
SWSCAP-WB,0.07,0.07,0.07,0.07,6500
SYCAL,0.195,0.195,0.195,0.195,50
SYF,0.43,0.44,0.425,0.435,56828
SYMLIFE,0.66,0.67,0.645,0.65,144724
SYSCORP,0.36,0.36,0.34,0.345,21168
T7GLOBAL,0.335,0.335,0.33,0.335,3660
TAANN,2.88,2.95,2.87,2.94,20751
TAFI,2.52,2.68,2.48,2.58,197779
TAKAFUL,4.24,4.25,4.22,4.22,1918
TALAMT,0.025,0.025,0.025,0.025,50125
TALIWRK,0.825,0.83,0.82,0.825,1587
TAMBUN,0.75,0.77,0.75,0.77,2066
TANCO,0.245,0.245,0.24,0.245,66190
TAS,0.265,0.275,0.265,0.27,3602
TASCO,1.15,1.15,1.11,1.12,20148
TAWIN,0.14,0.145,0.135,0.135,121436
TAWIN-PA,-,-,-,-,0
TAWIN-WA,0.06,0.06,0.055,0.055,5117
TAWIN-WB,0.055,0.06,0.055,0.055,121524
TCHONG,1.17,1.18,1.16,1.16,438
TDM,0.24,0.245,0.24,0.24,7020
TECGUAN,1.42,1.54,1.4,1.41,8041
TECHBND,0.455,0.465,0.455,0.465,4645
TECHBND-WA,0.17,0.18,0.17,0.18,2315
TECHNAX,0.08,0.085,0.08,0.08,25085
TEKSENG,0.445,0.45,0.435,0.445,9202
TENAGA,9.79,9.8,9.66,9.68,55370
TEOSENG,0.735,0.735,0.73,0.73,803
TEXCHEM,0.78,0.78,0.765,0.765,1979
TGL,1.1,1.14,1.1,1.12,200
TGUAN,2.68,2.7,2.66,2.67,3655
THETA,0.88,0.89,0.83,0.84,40818
THHEAVY,0.085,0.105,0.085,0.105,116836
THPLANT,0.54,0.55,0.535,0.55,3364
THRIVEN,0.155,0.155,0.15,0.155,350
TIENWAH,1.16,1.2,1.16,1.2,280
TIGER,0.045,0.045,0.04,0.04,32266
TIMECOM,4.52,4.56,4.52,4.55,41016
TIMWELL,0.62,0.62,0.61,0.61,150
TITIJYA,0.32,0.325,0.32,0.32,3970
TITIJYA-PA,-,-,-,-,0
TJSETIA,0.51,0.515,0.505,0.515,3093
TM,5.76,5.76,5.65,5.7,97714
TMCLIFE,0.56,0.57,0.56,0.565,1620
TNLOGIS,0.86,0.86,0.84,0.845,4381
TOCEAN,3.68,3.71,3.63,3.64,1113
TOMEI,0.9,0.92,0.9,0.9,1285
TOMYPAK,0.595,0.595,0.545,0.555,16152
TONGHER,2.8,2.82,2.79,2.82,194
TOPBLDS,0.06,0.065,0.06,0.06,161886
TOPGLOV,2.75,2.92,2.72,2.88,443044
TOYOVEN,2.02,2.05,2,2.01,1207
TOYOVEN-WB,0.84,0.84,0.835,0.835,194
TPC,-,-,-,-,0
TRC,0.345,0.345,0.34,0.34,480
TRIVE,0.06,0.065,0.06,0.06,4133
TRIVE-WC,0.025,0.025,0.025,0.025,10026
TROP,1,1.04,1,1.04,2942
TSH,1.12,1.12,1.09,1.11,9180
TSRCAP,0.25,0.255,0.245,0.245,8538
TUNEPRO,0.45,0.455,0.445,0.455,6458
TURBO,0.78,0.78,0.77,0.77,150
TURIYA,0.245,0.25,0.24,0.245,13295
TWRREIT,0.575,0.6,0.575,0.6,742
UCHITEC,3.11,3.13,3.07,3.13,5604
UEMS,0.365,0.37,0.365,0.37,29085
ULICORP,1.48,1.48,1.43,1.47,4799
UMCCA,5.04,5.04,5.04,5.04,32
UMS,2.43,2.43,2.37,2.37,57
UMSNGB,1.3,1.3,1.29,1.3,412
UMW,3.14,3.15,3.11,3.13,2921
UNIMECH,-,-,-,-,0
UNISEM,8.53,8.64,8.5,8.53,8528
UOADEV,1.64,1.67,1.64,1.66,3795
UOAREIT,1.12,1.13,1.12,1.12,170
UPA,2.3,2.32,2.3,2.32,15
UTDPLT,13.64,13.72,13.62,13.68,2249
UWC,5.9,6.09,5.9,6,26651
UZMA,0.605,0.61,0.595,0.6,5628
VELESTO,0.145,0.15,0.14,0.145,63686
VELESTO-WA,0.065,0.065,0.06,0.065,9507
VERSATL,0.55,0.55,0.55,0.55,100
VERTICE,0.295,0.305,0.295,0.295,1803
VERTICE-WA,0.135,0.14,0.125,0.14,593
VITROX,19.74,20.32,19.7,20,4137
VIZIONE,0.125,0.13,0.125,0.125,14815
VIZIONE-WC,0.01,0.01,0.01,0.01,1950
VIZIONE-WD,-,-,-,-,0
VS,1.62,1.62,1.57,1.59,190440
VS-WB,0.57,0.57,0.545,0.55,160697
VSTECS,1.37,1.37,1.33,1.37,6016
WANGZNG,0.795,0.795,0.795,0.795,30
WARISAN,1.33,1.33,1.33,1.33,210
WASEONG,0.67,0.685,0.66,0.68,9332
WATTA,0.62,0.62,0.605,0.61,2278
WCEHB,0.385,0.385,0.385,0.385,5173
WCEHB-PA,0.34,0.34,0.34,0.34,457
WCEHB-WF,0.205,0.205,0.205,0.205,300
WCT,0.63,0.63,0.61,0.62,71010
WEGMANS,0.265,0.265,0.265,0.265,1198
WEGMANS-WA,0.015,0.015,0.015,0.015,13830
WEGMANS-WB,0.095,0.095,0.095,0.095,72
WELLCAL,1.04,1.05,1.03,1.05,5956
WIDETEC,4.65,4.93,4.63,4.7,3687
WILLOW,0.42,0.425,0.42,0.425,600
WMG,0.11,0.125,0.11,0.125,9240
WONG,1.85,1.86,1.81,1.82,26651
WOODLAN,0.74,0.74,0.74,0.74,50
WPRTS,4.4,4.5,4.38,4.5,12169
WTHORSE,0.71,0.72,0.71,0.715,348
WTK,0.445,0.45,0.44,0.45,2557
WZSATU,0.135,0.14,0.135,0.14,4281
WZSATU-PA,0.135,0.135,0.135,0.135,600
WZSATU-WA,0.055,0.055,0.055,0.055,139
WZSATU-WB,0.085,0.095,0.085,0.085,422
XDL,0.04,0.045,0.04,0.045,19200
XDL-WD,-,-,-,-,0
XINHWA,0.385,0.385,0.365,0.365,22470
XINHWA-WA,0.115,0.12,0.11,0.11,10278
XL,0.75,0.77,0.735,0.74,17852
XL-WA,0.21,0.21,0.185,0.19,18184
Y&G,1.35,1.41,1.28,1.32,3549
YB,0.47,0.47,0.45,0.45,13793
YENHER,0.875,0.88,0.87,0.87,4307
YINSON,5.28,5.7,5.28,5.51,83531
YKGI,0.18,0.185,0.175,0.185,17965
YLI,0.33,0.34,0.33,0.335,2815
YNHPROP,2.61,2.65,2.6,2.65,639
YOCB,1.07,1.08,1.07,1.08,473
YONGTAI,0.14,0.145,0.14,0.145,34391
YONGTAI-PA,0.13,0.13,0.13,0.13,10
YSPSAH,1.98,2,1.98,1.99,344
YTL,0.615,0.615,0.605,0.61,23058
YTLPOWR,0.66,0.675,0.66,0.665,10386
YTLREIT,0.94,0.95,0.94,0.94,2110
ZECON,0.44,0.45,0.44,0.45,1462
ZELAN,0.125,0.135,0.12,0.13,190114
ZHULIAN,1.86,1.86,1.85,1.85,708
